Transaction ID,Date,Department,Amount,Status,Auditor
TXN001,2024-01-15,Finance,15000,Approved,John Smith
TXN002,2024-01-16,HR,8500,Pending,Jane Doe
TXN003,2024-01-17,IT,22000,Approved,Mike Johnson
TXN004,2024-01-18,Marketing,12500,Rejected,Sarah Williams
TXN005,2024-01-19,Finance,18700,Approved,John Smith
TXN006,2024-01-20,Operations,9800,Pending,Emily Brown
TXN007,2024-01-21,IT,31000,Approved,Mike Johnson
TXN008,2024-01-22,HR,7200,Approved,Jane Doe
TXN009,2024-01-23,Marketing,14500,Pending,Sarah Williams
TXN010,2024-01-24,Finance,25000,Approved,John Smith
